"recording_id","file_name","export_file_name"
26271,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1118.wav","Soundscape_VeMo_XXXXXXXX_26271"
26272,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1119.wav","Soundscape_VeMo_XXXXXXXX_26272"
26273,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1120.wav","Soundscape_VeMo_XXXXXXXX_26273"
26274,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1121.wav","Soundscape_VeMo_XXXXXXXX_26274"
26275,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1122.wav","Soundscape_VeMo_XXXXXXXX_26275"
26276,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1123.wav","Soundscape_VeMo_XXXXXXXX_26276"
26277,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1124.wav","Soundscape_VeMo_XXXXXXXX_26277"
26278,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1125.wav","Soundscape_VeMo_XXXXXXXX_26278"
26279,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1126.wav","Soundscape_VeMo_XXXXXXXX_26279"
26280,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1127.wav","Soundscape_VeMo_XXXXXXXX_26280"
26281,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1128.wav","Soundscape_VeMo_XXXXXXXX_26281"
26282,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1129.wav","Soundscape_VeMo_XXXXXXXX_26282"
26283,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1130.wav","Soundscape_VeMo_XXXXXXXX_26283"
26284,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1131.wav","Soundscape_VeMo_XXXXXXXX_26284"
26285,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1132.wav","Soundscape_VeMo_XXXXXXXX_26285"
26286,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1133.wav","Soundscape_VeMo_XXXXXXXX_26286"
26287,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1134.wav","Soundscape_VeMo_XXXXXXXX_26287"
26288,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1135.wav","Soundscape_VeMo_XXXXXXXX_26288"
26289,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1136.wav","Soundscape_VeMo_XXXXXXXX_26289"
26290,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1137.wav","Soundscape_VeMo_XXXXXXXX_26290"
26291,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1138.wav","Soundscape_VeMo_XXXXXXXX_26291"
26292,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1139.wav","Soundscape_VeMo_XXXXXXXX_26292"
26293,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1140.wav","Soundscape_VeMo_XXXXXXXX_26293"
26294,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1141.wav","Soundscape_VeMo_XXXXXXXX_26294"
26295,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1142.wav","Soundscape_VeMo_XXXXXXXX_26295"
26296,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1143.wav","Soundscape_VeMo_XXXXXXXX_26296"
26297,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1144.wav","Soundscape_VeMo_XXXXXXXX_26297"
26298,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1145.wav","Soundscape_VeMo_XXXXXXXX_26298"
26299,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1146.wav","Soundscape_VeMo_XXXXXXXX_26299"
26300,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1147.wav","Soundscape_VeMo_XXXXXXXX_26300"
26301,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1148.wav","Soundscape_VeMo_XXXXXXXX_26301"
26302,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1149.wav","Soundscape_VeMo_XXXXXXXX_26302"
26303,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1150.wav","Soundscape_VeMo_XXXXXXXX_26303"
26304,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1151.wav","Soundscape_VeMo_XXXXXXXX_26304"
26305,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1152.wav","Soundscape_VeMo_XXXXXXXX_26305"
26306,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1153.wav","Soundscape_VeMo_XXXXXXXX_26306"
26307,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1154.wav","Soundscape_VeMo_XXXXXXXX_26307"
26308,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1155.wav","Soundscape_VeMo_XXXXXXXX_26308"
26309,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1156.wav","Soundscape_VeMo_XXXXXXXX_26309"
26310,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1157.wav","Soundscape_VeMo_XXXXXXXX_26310"
26311,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1158.wav","Soundscape_VeMo_XXXXXXXX_26311"
26312,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1159.wav","Soundscape_VeMo_XXXXXXXX_26312"
26313,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1160.wav","Soundscape_VeMo_XXXXXXXX_26313"
26314,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1161.wav","Soundscape_VeMo_XXXXXXXX_26314"
26315,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1162.wav","Soundscape_VeMo_XXXXXXXX_26315"
26316,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1163.wav","Soundscape_VeMo_XXXXXXXX_26316"
26317,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1164.wav","Soundscape_VeMo_XXXXXXXX_26317"
26318,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1165.wav","Soundscape_VeMo_XXXXXXXX_26318"
26319,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1166.wav","Soundscape_VeMo_XXXXXXXX_26319"
26320,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1167.wav","Soundscape_VeMo_XXXXXXXX_26320"
26321,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1168.wav","Soundscape_VeMo_XXXXXXXX_26321"
26322,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1169.wav","Soundscape_VeMo_XXXXXXXX_26322"
26323,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1170.wav","Soundscape_VeMo_XXXXXXXX_26323"
26324,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1171.wav","Soundscape_VeMo_XXXXXXXX_26324"
26325,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1172.wav","Soundscape_VeMo_XXXXXXXX_26325"
26326,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1173.wav","Soundscape_VeMo_XXXXXXXX_26326"
26327,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1174.wav","Soundscape_VeMo_XXXXXXXX_26327"
26328,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1175.wav","Soundscape_VeMo_XXXXXXXX_26328"
26329,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1176.wav","Soundscape_VeMo_XXXXXXXX_26329"
26330,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1177.wav","Soundscape_VeMo_XXXXXXXX_26330"
26331,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1178.wav","Soundscape_VeMo_XXXXXXXX_26331"
26332,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1179.wav","Soundscape_VeMo_XXXXXXXX_26332"
26333,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1180.wav","Soundscape_VeMo_XXXXXXXX_26333"
26334,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1181.wav","Soundscape_VeMo_XXXXXXXX_26334"
26335,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1182.wav","Soundscape_VeMo_XXXXXXXX_26335"
26336,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1183.wav","Soundscape_VeMo_XXXXXXXX_26336"
26337,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1184.wav","Soundscape_VeMo_XXXXXXXX_26337"
26338,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1185.wav","Soundscape_VeMo_XXXXXXXX_26338"
26339,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1186.wav","Soundscape_VeMo_XXXXXXXX_26339"
26340,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1187.wav","Soundscape_VeMo_XXXXXXXX_26340"
26341,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1188.wav","Soundscape_VeMo_XXXXXXXX_26341"
26342,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1189.wav","Soundscape_VeMo_XXXXXXXX_26342"
26343,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1190.wav","Soundscape_VeMo_XXXXXXXX_26343"
26344,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1191.wav","Soundscape_VeMo_XXXXXXXX_26344"
26345,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1192.wav","Soundscape_VeMo_XXXXXXXX_26345"
26346,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1193.wav","Soundscape_VeMo_XXXXXXXX_26346"
26347,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1194.wav","Soundscape_VeMo_XXXXXXXX_26347"
26348,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1195.wav","Soundscape_VeMo_XXXXXXXX_26348"
26349,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1196.wav","Soundscape_VeMo_XXXXXXXX_26349"
26350,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1197.wav","Soundscape_VeMo_XXXXXXXX_26350"
26351,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1198.wav","Soundscape_VeMo_XXXXXXXX_26351"
26352,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1199.wav","Soundscape_VeMo_XXXXXXXX_26352"
